Y,te_lw,te_surv,te_full,ratio_full,ratio_surv,pct_factor,pct_tail
2018,0.055193849713575854,0.22724917374544,0.22723627699260568,4.117057936198154,4.117291599059166,100.01135128508649,0.0
2022,0.05366576466239085,0.14694100430702284,0.13919353668457396,2.593711979326762,2.738077156478115,111.44173586507439,0.0
2024,0.04598196445764434,0.23873108388250794,0.2477792002456277,5.388617106036566,5.1918417731459,92.82997766427474,7.170022335725252
