Y,N,R2_CI_only,corr_CI,R2_CI_region,slope_bp_per_sigma_CI
2018,547,0.3231514189623337,-0.56846408766283,0.3231514189623337,-2.119878670042307
2022,592,0.16821679740906026,-0.41014241113186556,0.16821679740906026,-1.368118821321192
2024,565,0.1482300986152767,-0.38500662152134046,0.1482300986152767,-1.1617075215463026
