Y,EA_CC,RE_CC,ratio_CC,EA_SI,RE_SI,ratio_SI
2013,0.053842236399614433,0.549573089043857,10.20709996079941,0.05000797221198218,0.5424521429497892,10.84731331737172
2014,0.05249182588108343,0.6315060960384057,12.030560671847056,0.04795957667590675,0.6340969872786776,13.221488412286721
2015,0.05076167780087387,0.6322796433601122,12.455846038824733,0.04693065696273386,0.636065275684385,13.553300056921517
2016,0.04572421105263063,0.6449546566764696,14.105320613057657,0.0416494725902828,0.6458828655003845,15.507588099712812
2017,0.053677160976202606,0.5292478069814325,9.859832326379385,0.048929088737546256,0.5302876904215585,10.837882006468611
2018,0.05519384971357608,1.2339567102240303,22.356779181512913,0.051238364170568464,1.2317386826091592,24.039383429744138
2019,0.053676621875696724,0.9378989679694152,17.473137004437117,0.05078977956260686,0.9301952521566412,18.314614872663913
2020,0.04741490750880361,0.9978472428798424,21.045010848003244,0.04413565163110002,0.9979031720927973,22.609911380341526
2021,0.05005157444673282,0.9212792837266506,18.406599470854175,0.04800522665752839,0.9239265743507972,19.24637458629524
2022,0.053665764662390925,0.8682309937660511,16.178489195636285,0.05220407719180074,0.8655062101221948,16.5792837778221
2023,0.05027056163200372,0.5943672984685526,11.823366980053013,0.04752323093627562,0.5960157509071717,12.541566285894477
2024,0.04598196445764461,0.7837459438878187,17.044638112618067,0.043472832011108256,0.7804211560398647,17.951928133884863
